FLIGHT_DATE,FLIGHT_TIME,TIME_OF_DAY,AIRLINE_CD,FLIGHT_NO,DEPARTURE_STATION_CD,ARRIVAL_STATION_CD,ARRIVAL_COUNTRY,ARRIVAL_REGION,HAUL,AIRCRAFT_TYPE,FIRST_CLASS_SEATS,BUSINESS_CLASS_SEATS,ECONOMY_SEATS,TIER1_ELIGIBLE_PAX,TIER2_ELIGIBLE_PAX,TIER3_ELIGIBLE_PAX,total_seats,tier1_hist_pct,tier2_hist_pct,tier3_hist_pct,day_of_week,month,Tier1_pct,Tier2_pct,Tier3_pct,Tier1_est_pax,Tier2_est_pax,Tier3_est_pax,category,cluster
2025-04-02,17:04:00,Afternoon,BA,BA8677,LHR,ORD,USA,North America,LONG,B787,8,42,166,0,2,14,216,0.0,0.009259259259259259,0.06481481481481481,Wednesday,4,0.0,0.027190332326283987,0.10574018126888217,0,6,23,North America|Afternoon,1
2025-06-13,14:20:00,Afternoon,BA,BA3998,LHR,CDG,France,Europe,SHORT,A320,0,18,162,2,9,35,180,0.011111111111111112,0.05,0.19444444444444445,Friday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-08-02,17:48:00,Afternoon,BA,BA9842,LHR,VIE,Austria,Europe,SHORT,A320,0,17,163,1,3,16,180,0.005555555555555556,0.016666666666666666,0.08888888888888889,Saturday,8,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-09-02,06:48:00,Morning,BA,BA8555,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,5,175,0,0,8,180,0.0,0.0,0.044444444444444446,Tuesday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-06-05,22:28:00,Evening,BA,BA9080,LHR,JFK,USA,North America,LONG,B777,8,49,178,1,16,53,235,0.00425531914893617,0.06808510638297872,0.225531914893617,Thursday,6,0.0,0.02734375,0.10638297872340426,0,6,25,North America|Evening,1
2025-06-01,10:27:00,Morning,BA,BA1302,LHR,MAD,Spain,Europe,SHORT,A320,0,15,165,0,7,27,180,0.0,0.03888888888888889,0.15,Sunday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-04-10,16:04:00,Afternoon,BA,BA1609,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,0,8,31,256,0.0,0.03125,0.12109375,Thursday,4,0.0,0.02710843373493976,0.10542168674698796,0,7,27,Middle East|Afternoon,1
2025-06-05,17:37:00,Afternoon,BA,BA2199,LHR,JFK,USA,North America,LONG,A380,14,97,358,1,0,8,469,0.0021321961620469083,0.0,0.017057569296375266,Thursday,6,0.0,0.027190332326283987,0.10574018126888217,0,13,50,North America|Afternoon,1
2025-05-27,20:21:00,Evening,BA,BA3986,LHR,MUC,Germany,Europe,SHORT,A320,0,3,177,0,5,22,180,0.0,0.027777777777777776,0.12222222222222222,Tuesday,5,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-06-14,14:16:00,Afternoon,BA,BA8994,LHR,IST,Turkey,Europe,SHORT,A320,0,13,167,1,8,32,180,0.005555555555555556,0.044444444444444446,0.17777777777777778,Saturday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-10-05,18:59:00,Evening,BA,BA9311,LHR,MAD,Spain,Europe,SHORT,A320,0,9,171,1,1,12,180,0.005555555555555556,0.005555555555555556,0.06666666666666667,Sunday,10,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-04-28,18:59:00,Evening,BA,BA3363,LHR,ORD,USA,North America,LONG,B777,0,48,224,0,10,36,272,0.0,0.03676470588235294,0.1323529411764706,Monday,4,0.0,0.02734375,0.10638297872340426,0,7,29,North America|Evening,1
2025-08-24,19:28:00,Evening,BA,BA9976,LHR,MAD,Spain,Europe,SHORT,A320,0,11,169,0,4,21,180,0.0,0.022222222222222223,0.11666666666666667,Sunday,8,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-06-22,06:25:00,Morning,BA,BA4218,LHR,FRA,Germany,Europe,SHORT,A320,0,1,179,1,6,26,180,0.005555555555555556,0.03333333333333333,0.14444444444444443,Sunday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-08-20,06:29:00,Morning,BA,BA5499,LHR,JFK,USA,North America,LONG,B787,8,48,200,2,4,21,256,0.0078125,0.015625,0.08203125,Wednesday,8,0.0,0.02734375,0.10574018126888217,0,7,27,North America|Morning,3
2025-05-27,08:49:00,Morning,BA,BA5333,LHR,ORD,USA,North America,LONG,B777,0,32,304,0,18,59,336,0.0,0.05357142857142857,0.17559523809523808,Tuesday,5,0.0,0.02734375,0.10574018126888217,0,9,36,North America|Morning,3
2025-06-01,15:28:00,Afternoon,BA,BA4414,LHR,IST,Turkey,Europe,SHORT,A320,0,4,176,0,8,30,180,0.0,0.044444444444444446,0.16666666666666666,Sunday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-10-26,10:44:00,Morning,BA,BA4125,LHR,JFK,USA,North America,LONG,B787,0,31,173,0,2,14,204,0.0,0.00980392156862745,0.06862745098039216,Sunday,10,0.0,0.02734375,0.10574018126888217,0,6,22,North America|Morning,3
2025-09-10,14:05:00,Afternoon,BA,BA4192,LHR,MUC,Germany,Europe,SHORT,A320,0,1,179,1,12,43,180,0.005555555555555556,0.06666666666666667,0.2388888888888889,Wednesday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-05-28,06:05:00,Morning,BA,BA1683,LHR,AMS,Netherlands,Europe,SHORT,A320,0,17,163,1,1,11,180,0.005555555555555556,0.005555555555555556,0.06111111111111111,Wednesday,5,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-04-25,20:06:00,Evening,BA,BA3990,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,9,34,235,0.0,0.03829787234042553,0.14468085106382977,Friday,4,0.0,0.02710843373493976,0.10574018126888217,0,6,25,Middle East|Evening,1
2025-08-28,22:29:00,Evening,BA,BA9466,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,2,0,0,256,0.0078125,0.0,0.0,Thursday,8,0.0,0.02710843373493976,0.10574018126888217,0,7,27,Middle East|Evening,1
2025-10-16,18:29:00,Evening,BA,BA6458,LHR,HND,Japan,Asia,LONG,B777,0,32,300,0,1,10,332,0.0,0.0030120481927710845,0.030120481927710843,Thursday,10,0.0,0.02433949410579942,0.09662224264705882,0,8,32,Asia|Evening,2
2025-10-25,16:00:00,Afternoon,BA,BA9912,LHR,FRA,Germany,Europe,SHORT,A320,0,16,164,1,9,33,180,0.005555555555555556,0.05,0.18333333333333332,Saturday,10,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-09-15,14:00:00,Afternoon,BA,BA9863,LHR,LAX,USA,North America,LONG,B787,8,48,200,0,12,42,256,0.0,0.046875,0.1640625,Monday,9,0.0,0.027190332326283987,0.10574018126888217,0,7,27,North America|Afternoon,1
2025-09-03,06:00:00,Morning,BA,BA6358,LHR,BCN,Spain,Europe,SHORT,A320,0,8,172,0,9,33,180,0.0,0.05,0.18333333333333332,Wednesday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-10-27,11:10:00,Morning,BA,BA2032,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,7,28,235,0.0,0.029787234042553193,0.11914893617021277,Monday,10,0.0,0.02710843373493976,0.10784313725490197,0,6,25,Middle East|Morning,3
2025-09-02,08:05:00,Morning,BA,BA7688,LHR,MUC,Germany,Europe,SHORT,A320,0,11,169,0,6,26,180,0.0,0.03333333333333333,0.14444444444444443,Tuesday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-09-20,06:54:00,Morning,BA,BA2057,LHR,MUC,Germany,Europe,SHORT,A320,0,20,160,1,0,7,180,0.005555555555555556,0.0,0.03888888888888889,Saturday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-09-27,19:16:00,Evening,BA,BA9424,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,0,4,19,256,0.0,0.015625,0.07421875,Saturday,9,0.0,0.02710843373493976,0.10574018126888217,0,7,27,Middle East|Evening,1
2025-09-22,22:04:00,Evening,BA,BA5207,LHR,MAD,Spain,Europe,SHORT,A320,0,10,170,0,5,23,180,0.0,0.027777777777777776,0.12777777777777777,Monday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-07-21,20:07:00,Evening,BA,BA7077,LHR,FRA,Germany,Europe,SHORT,A320,0,13,167,0,14,47,180,0.0,0.07777777777777778,0.2611111111111111,Monday,7,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-07-03,12:18:00,Lunchtime,BA,BA3137,LHR,CDG,France,Europe,SHORT,A320,0,13,167,0,10,36,180,0.0,0.05555555555555555,0.2,Thursday,7,0.0,0.044444444444444446,0.17222222222222222,0,8,31,Europe|Lunchtime,0
2025-06-03,16:31:00,Afternoon,BA,BA9353,LHR,AMS,Netherlands,Europe,SHORT,A320,0,12,168,1,0,3,180,0.005555555555555556,0.0,0.016666666666666666,Tuesday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-06-18,11:28:00,Morning,BA,BA4358,LHR,MAD,Spain,Europe,SHORT,A320,0,4,176,1,10,35,180,0.005555555555555556,0.05555555555555555,0.19444444444444445,Wednesday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-09-27,16:12:00,Afternoon,BA,BA9861,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,10,170,0,6,24,180,0.0,0.03333333333333333,0.13333333333333333,Saturday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-05-11,13:23:00,Lunchtime,BA,BA5903,LHR,ORD,USA,North America,LONG,A380,14,97,358,0,4,20,469,0.0,0.008528784648187633,0.042643923240938165,Sunday,5,0.0,0.027190332326283987,0.10747663551401869,0,13,50,North America|Lunchtime,3
2025-06-22,12:47:00,Lunchtime,BA,BA4485,LHR,JFK,USA,North America,LONG,B777,0,32,300,0,11,40,332,0.0,0.03313253012048193,0.12048192771084337,Sunday,6,0.0,0.027190332326283987,0.10747663551401869,0,9,36,North America|Lunchtime,3
2025-06-29,10:49:00,Morning,BA,BA2572,LHR,MAD,Spain,Europe,SHORT,A320,0,14,166,2,13,46,180,0.011111111111111112,0.07222222222222222,0.25555555555555554,Sunday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-10-20,21:11:00,Evening,BA,BA6423,LHR,IST,Turkey,Europe,SHORT,A320,0,15,165,2,13,45,180,0.011111111111111112,0.07222222222222222,0.25,Monday,10,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-09-21,09:41:00,Morning,BA,BA7406,LHR,LAX,USA,North America,LONG,B787,8,42,166,1,3,17,216,0.004629629629629629,0.013888888888888888,0.0787037037037037,Sunday,9,0.0,0.02734375,0.10574018126888217,0,6,23,North America|Morning,3
2025-08-23,17:58:00,Afternoon,BA,BA1117,LHR,FRA,Germany,Europe,SHORT,A320,0,1,179,2,6,25,180,0.011111111111111112,0.03333333333333333,0.1388888888888889,Saturday,8,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-09-02,19:50:00,Evening,BA,BA6576,LHR,IST,Turkey,Europe,SHORT,A320,0,11,169,1,10,35,180,0.005555555555555556,0.05555555555555555,0.19444444444444445,Tuesday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-05-03,12:45:00,Lunchtime,BA,BA8214,LHR,AMS,Netherlands,Europe,SHORT,A320,0,16,164,1,13,46,180,0.005555555555555556,0.07222222222222222,0.25555555555555554,Saturday,5,0.0,0.044444444444444446,0.17222222222222222,0,8,31,Europe|Lunchtime,0
2025-07-13,11:25:00,Morning,BA,BA1456,LHR,IST,Turkey,Europe,SHORT,A320,0,6,174,0,5,23,180,0.0,0.027777777777777776,0.12777777777777777,Sunday,7,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-05-01,21:27:00,Evening,BA,BA1839,LHR,LAX,USA,North America,LONG,B777,0,32,300,0,7,27,332,0.0,0.02108433734939759,0.08132530120481928,Thursday,5,0.0,0.02734375,0.10638297872340426,0,9,35,North America|Evening,1
2025-05-28,06:43:00,Morning,BA,BA2095,LHR,LAX,USA,North America,LONG,B777,0,32,300,0,2,13,332,0.0,0.006024096385542169,0.0391566265060241,Wednesday,5,0.0,0.02734375,0.10574018126888217,0,9,35,North America|Morning,3
2025-09-29,13:44:00,Lunchtime,BA,BA8831,LHR,AMS,Netherlands,Europe,SHORT,A320,0,20,160,0,1,12,180,0.0,0.005555555555555556,0.06666666666666667,Monday,9,0.0,0.044444444444444446,0.17222222222222222,0,8,31,Europe|Lunchtime,0
2025-09-05,15:02:00,Afternoon,BA,BA5960,LHR,MUC,Germany,Europe,SHORT,A320,0,17,163,0,12,43,180,0.0,0.06666666666666667,0.2388888888888889,Friday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-10-03,12:18:00,Lunchtime,BA,BA6246,LHR,DFW,USA,North America,LONG,B777,8,49,178,0,15,51,235,0.0,0.06382978723404255,0.2170212765957447,Friday,10,0.0,0.027190332326283987,0.10747663551401869,0,6,25,North America|Lunchtime,3
2025-06-29,13:01:00,Lunchtime,BA,BA5167,LHR,FRA,Germany,Europe,SHORT,A320,0,8,172,0,7,29,180,0.0,0.03888888888888889,0.16111111111111112,Sunday,6,0.0,0.044444444444444446,0.17222222222222222,0,8,31,Europe|Lunchtime,0
2025-06-25,13:27:00,Lunchtime,BA,BA1644,LHR,FRA,Germany,Europe,SHORT,A320,0,18,162,0,13,46,180,0.0,0.07222222222222222,0.25555555555555554,Wednesday,6,0.0,0.044444444444444446,0.17222222222222222,0,8,31,Europe|Lunchtime,0
2025-09-14,16:40:00,Afternoon,BA,BA5518,LHR,HND,Japan,Asia,LONG,A380,14,97,358,0,10,36,469,0.0,0.021321961620469083,0.0767590618336887,Sunday,9,0.0,0.029774569402228977,0.11061507936507936,0,14,52,Asia|Afternoon,1
2025-06-19,22:43:00,Evening,BA,BA7450,LHR,BCN,Spain,Europe,SHORT,A320,0,10,170,0,4,20,180,0.0,0.022222222222222223,0.1111111111111111,Thursday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-08-27,22:12:00,Evening,BA,BA5169,LHR,DFW,USA,North America,LONG,B777,8,49,178,2,10,36,235,0.00851063829787234,0.0425531914893617,0.15319148936170213,Wednesday,8,0.0,0.02734375,0.10638297872340426,0,6,25,North America|Evening,1
2025-07-13,10:40:00,Morning,BA,BA3445,LHR,ORD,USA,North America,LONG,B777,8,49,178,1,16,54,235,0.00425531914893617,0.06808510638297872,0.2297872340425532,Sunday,7,0.0,0.02734375,0.10574018126888217,0,6,25,North America|Morning,3
2025-10-20,18:57:00,Evening,BA,BA6547,LHR,ORD,USA,North America,LONG,A350,0,56,275,1,8,30,331,0.0030211480362537764,0.02416918429003021,0.09063444108761329,Monday,10,0.0,0.02734375,0.10638297872340426,0,9,35,North America|Evening,1
2025-04-29,16:43:00,Afternoon,BA,BA3045,LHR,MAD,Spain,Europe,SHORT,A320,0,8,172,0,16,55,180,0.0,0.08888888888888889,0.3055555555555556,Tuesday,4,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-09-23,21:27:00,Evening,BA,BA9105,LHR,LAX,USA,North America,LONG,A380,14,97,358,0,0,0,469,0.0,0.0,0.0,Tuesday,9,0.0,0.02734375,0.10638297872340426,0,13,50,North America|Evening,1
2025-06-21,13:31:00,Lunchtime,BA,BA1676,LHR,CDG,France,Europe,SHORT,A320,0,7,173,0,12,43,180,0.0,0.06666666666666667,0.2388888888888889,Saturday,6,0.0,0.044444444444444446,0.17222222222222222,0,8,31,Europe|Lunchtime,0
2025-06-07,11:04:00,Morning,BA,BA6083,LHR,BCN,Spain,Europe,SHORT,A320,0,4,176,2,8,32,180,0.011111111111111112,0.044444444444444446,0.17777777777777778,Saturday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-06-04,11:29:00,Morning,BA,BA3697,LHR,CDG,France,Europe,SHORT,A320,0,16,164,0,6,26,180,0.0,0.03333333333333333,0.14444444444444443,Wednesday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-08-17,11:14:00,Morning,BA,BA1957,LHR,BCN,Spain,Europe,SHORT,A320,0,16,164,0,8,32,180,0.0,0.044444444444444446,0.17777777777777778,Sunday,8,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-05-25,14:37:00,Afternoon,BA,BA3710,LHR,LAX,USA,North America,LONG,B777,0,32,304,1,0,0,336,0.002976190476190476,0.0,0.0,Sunday,5,0.0,0.027190332326283987,0.10574018126888217,0,9,36,North America|Afternoon,1
2025-05-10,11:15:00,Morning,BA,BA4739,LHR,MAD,Spain,Europe,SHORT,A320,0,12,168,0,7,27,180,0.0,0.03888888888888889,0.15,Saturday,5,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-04-28,15:32:00,Afternoon,BA,BA8007,LHR,FRA,Germany,Europe,SHORT,A320,0,15,165,0,10,36,180,0.0,0.05555555555555555,0.2,Monday,4,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-07-16,22:37:00,Evening,BA,BA9540,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,16,53,235,0.0,0.06808510638297872,0.225531914893617,Wednesday,7,0.0,0.02734375,0.10638297872340426,0,6,25,North America|Evening,1
2025-07-25,10:56:00,Morning,BA,BA1547,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,0,5,22,256,0.0,0.01953125,0.0859375,Friday,7,0.0,0.02710843373493976,0.10784313725490197,0,7,28,Middle East|Morning,3
2025-04-03,22:52:00,Evening,BA,BA5541,LHR,LAX,USA,North America,LONG,A350,0,56,275,0,3,18,331,0.0,0.00906344410876133,0.054380664652567974,Thursday,4,0.0,0.02734375,0.10638297872340426,0,9,35,North America|Evening,1
2025-10-08,08:36:00,Morning,BA,BA8409,LHR,IST,Turkey,Europe,SHORT,A320,0,18,162,0,5,22,180,0.0,0.027777777777777776,0.12222222222222222,Wednesday,10,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-08-09,14:54:00,Afternoon,BA,BA4309,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,7,173,1,13,45,180,0.005555555555555556,0.07222222222222222,0.25,Saturday,8,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-09-01,19:54:00,Evening,BA,BA1673,LHR,MAD,Spain,Europe,SHORT,A320,0,19,161,1,10,35,180,0.005555555555555556,0.05555555555555555,0.19444444444444445,Monday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-06-26,21:36:00,Evening,BA,BA5904,LHR,LAX,USA,North America,LONG,B787,0,35,179,0,5,22,214,0.0,0.02336448598130841,0.102803738317757,Thursday,6,0.0,0.02734375,0.10638297872340426,0,6,23,North America|Evening,1
2025-09-14,22:27:00,Evening,BA,BA2689,LHR,DFW,USA,North America,LONG,B777,0,32,300,2,11,38,332,0.006024096385542169,0.03313253012048193,0.1144578313253012,Sunday,9,0.0,0.02734375,0.10638297872340426,0,9,35,North America|Evening,1
2025-07-04,12:58:00,Lunchtime,BA,BA6223,LHR,FRA,Germany,Europe,SHORT,A320,0,13,167,0,8,32,180,0.0,0.044444444444444446,0.17777777777777778,Friday,7,0.0,0.044444444444444446,0.17222222222222222,0,8,31,Europe|Lunchtime,0
2025-08-11,07:57:00,Morning,BA,BA1189,LHR,DFW,USA,North America,LONG,B787,8,48,200,0,13,45,256,0.0,0.05078125,0.17578125,Monday,8,0.0,0.02734375,0.10574018126888217,0,7,27,North America|Morning,3
2025-04-14,14:41:00,Afternoon,BA,BA2430,LHR,BCN,Spain,Europe,SHORT,A320,0,10,170,0,4,19,180,0.0,0.022222222222222223,0.10555555555555556,Monday,4,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-08-02,13:47:00,Lunchtime,BA,BA5750,LHR,DFW,USA,North America,LONG,B777,8,49,178,0,6,25,235,0.0,0.02553191489361702,0.10638297872340426,Saturday,8,0.0,0.027190332326283987,0.10747663551401869,0,6,25,North America|Lunchtime,3
2025-09-13,06:39:00,Morning,BA,BA2419,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,6,24,235,0.0,0.02553191489361702,0.10212765957446808,Saturday,9,0.0,0.02710843373493976,0.10784313725490197,0,6,25,Middle East|Morning,3
2025-10-25,17:07:00,Afternoon,BA,BA5732,LHR,DFW,USA,North America,LONG,B777,0,32,300,0,0,7,332,0.0,0.0,0.02108433734939759,Saturday,10,0.0,0.027190332326283987,0.10574018126888217,0,9,35,North America|Afternoon,1
2025-06-24,10:43:00,Morning,BA,BA2950,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,2,178,1,9,35,180,0.005555555555555556,0.05,0.19444444444444445,Tuesday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-10-16,19:39:00,Evening,BA,BA7773,LHR,IST,Turkey,Europe,SHORT,A320,0,13,167,0,9,34,180,0.0,0.05,0.18888888888888888,Thursday,10,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-04-15,10:05:00,Morning,BA,BA7497,LHR,DFW,USA,North America,LONG,B777,8,49,178,0,8,30,235,0.0,0.03404255319148936,0.1276595744680851,Tuesday,4,0.0,0.02734375,0.10574018126888217,0,6,25,North America|Morning,3
2025-09-25,10:21:00,Morning,BA,BA5191,LHR,IST,Turkey,Europe,SHORT,A320,0,9,171,2,6,27,180,0.011111111111111112,0.03333333333333333,0.15,Thursday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-05-04,13:17:00,Lunchtime,BA,BA6259,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,0,0,8,256,0.0,0.0,0.03125,Sunday,5,0.0,0.02734375,0.11144578313253012,0,7,29,Middle East|Lunchtime,3
2025-06-26,12:16:00,Lunchtime,BA,BA1087,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,20,160,0,5,24,180,0.0,0.027777777777777776,0.13333333333333333,Thursday,6,0.0,0.044444444444444446,0.17222222222222222,0,8,31,Europe|Lunchtime,0
